CS11.A	CS11.B	CS11.D
TraesCS2A02G390100.1	TraesCS2B02G409100.1	TraesCS2D02G388600.1
TraesCS2A02G390200.3	TraesCS2B02G409000.1	TraesCS2D02G388400.1
TraesCS2A02G390500.1	TraesCS2B02G408900.1	TraesCS2D02G388200.1
TraesCS2A02G390700.1	TraesCS2B02G408600.2	TraesCS2D02G387900.2
TraesCS2A02G391000.1	TraesCS2B02G408000.1	TraesCS2D02G387700.3
TraesCS2A02G391200.1	TraesCS2B02G407800.1	TraesCS2D02G387500.1
TraesCS2A02G391500.1	TraesCS2B02G410000.1	TraesCS2D02G389800.1
TraesCS2A02G391600.1	TraesCS2B02G410100.1	TraesCS2D02G389900.1
TraesCS2A02G391900.1	TraesCS2B02G410300.1	TraesCS2D02G390100.2
TraesCS2A02G392100.1	TraesCS2B02G410400.1	TraesCS2D02G390200.1
TraesCS2A02G392200.1	TraesCS2B02G410500.1	TraesCS2D02G390300.1
TraesCS2A02G392600.1	TraesCS2B02G410800.1	TraesCS2D02G390700.1
TraesCS2A02G392800.1	TraesCS2B02G410900.1	TraesCS2D02G390900.1
TraesCS2A02G392900.1	TraesCS2B02G411000.1	TraesCS2D02G391000.1
TraesCS2A02G393500.1	TraesCS2B02G411500.1	TraesCS2D02G391400.1
TraesCS2A02G393700.1	TraesCS2B02G411700.1	TraesCS2D02G391600.1
TraesCS2A02G393800.1	TraesCS2B02G411800.1	TraesCS2D02G391700.1
TraesCS2A02G393900.1	TraesCS2B02G411900.1	TraesCS2D02G391800.1
TraesCS2A02G394500.1	TraesCS2B02G412500.1	TraesCS2D02G392200.1
TraesCS2A02G394600.1	TraesCS2B02G412600.1	TraesCS2D02G392300.1
TraesCS2A02G394700.1	TraesCS2B02G412700.1	TraesCS2D02G392400.1
TraesCS2A02G394900.1	TraesCS2B02G412900.1	TraesCS2D02G392900.1
TraesCS2A02G395000.1	TraesCS2B02G413000.1	TraesCS2D02G392800.1
TraesCS2A02G395200.1	TraesCS2B02G413300.1	TraesCS2D02G393000.1
TraesCS2A02G395300.2	TraesCS2B02G413400.1	TraesCS2D02G393100.2
TraesCS2A02G395400.1	TraesCS2B02G413500.1	TraesCS2D02G393200.1
TraesCS2A02G395800.1	TraesCS2B02G414100.1	TraesCS2D02G393500.1
TraesCS2A02G395900.1	TraesCS2B02G414200.1	TraesCS2D02G393600.2
TraesCS2A02G396000.1	TraesCS2B02G414300.1	TraesCS2D02G393700.1
TraesCS2A02G396100.1	TraesCS2B02G414400.1	TraesCS2D02G393800.1
TraesCS2A02G396200.1	TraesCS2B02G414500.1	TraesCS2D02G393900.1
TraesCS2A02G396300.1	TraesCS2B02G414600.1	TraesCS2D02G394000.1
TraesCS2A02G396400.1	TraesCS2B02G414800.1	TraesCS2D02G394200.1
TraesCS2A02G396800.1	TraesCS2B02G415100.1	TraesCS2D02G394500.1
TraesCS2A02G396900.2	TraesCS2B02G415200.1	TraesCS2D02G394700.1
TraesCS2A02G397000.1	TraesCS2B02G415300.1	TraesCS2D02G394800.1
TraesCS2A02G397100.1	TraesCS2B02G415400.1	TraesCS2D02G394900.1
TraesCS2A02G397300.1	TraesCS2B02G415600.1	TraesCS2D02G395100.2
TraesCS2A02G398000.1	TraesCS2B02G416100.1	TraesCS2D02G395700.1
TraesCS2A02G398500.1	TraesCS2B02G416400.1	TraesCS2D02G396000.1
TraesCS2A02G398600.1	TraesCS2B02G416500.1	TraesCS2D02G396100.1
TraesCS2A02G398700.1	TraesCS2B02G416600.1	TraesCS2D02G396200.1
TraesCS2A02G398800.2	TraesCS2B02G416700.1	TraesCS2D02G396300.1
TraesCS2A02G398900.1	TraesCS2B02G416900.1	TraesCS2D02G396400.1
TraesCS2A02G399000.1	TraesCS2B02G417000.1	TraesCS2D02G396500.1
TraesCS2A02G399100.1	TraesCS2B02G417100.1	TraesCS2D02G396600.1
TraesCS2A02G399200.1	TraesCS2B02G417200.1	TraesCS2D02G396700.1
TraesCS2A02G399300.1	TraesCS2B02G417300.1	TraesCS2D02G396800.1
TraesCS2A02G399500.1	TraesCS2B02G417500.1	TraesCS2D02G397000.1
TraesCS2A02G399600.1	TraesCS2B02G417600.1	TraesCS2D02G397100.1
TraesCS2A02G399900.1	TraesCS2B02G417900.1	TraesCS2D02G397500.1
TraesCS2A02G400100.1	TraesCS2B02G418200.2	TraesCS2D02G397700.1
TraesCS2A02G400300.1	TraesCS2B02G418400.1	TraesCS2D02G397900.1
TraesCS2A02G400400.1	TraesCS2B02G418500.1	TraesCS2D02G398000.1
TraesCS2A02G400500.1	TraesCS2B02G418600.1	TraesCS2D02G398100.1
TraesCS2A02G400600.1	TraesCS2B02G418700.1	TraesCS2D02G398200.1
TraesCS2A02G400900.1	TraesCS2B02G419000.1	TraesCS2D02G398400.1
TraesCS2A02G401000.1	TraesCS2B02G419100.1	TraesCS2D02G398500.1
TraesCS2A02G401200.3	TraesCS2B02G419200.1	TraesCS2D02G398600.1
TraesCS2A02G401500.1	TraesCS2B02G419500.1	TraesCS2D02G398800.2
TraesCS2A02G401600.1	TraesCS2B02G419600.1	TraesCS2D02G399000.1
TraesCS2A02G401700.1	TraesCS2B02G419800.1	TraesCS2D02G399100.1
TraesCS2A02G402000.1	TraesCS2B02G420100.1	TraesCS2D02G399400.1
TraesCS2A02G402400.2	TraesCS2B02G420600.1	TraesCS2D02G399700.2
TraesCS2A02G402600.1	TraesCS2B02G420700.1	TraesCS2D02G399900.1
TraesCS2A02G403300.2	TraesCS2B02G421200.3	TraesCS2D02G400400.1
TraesCS2A02G403400.1	TraesCS2B02G421500.1	TraesCS2D02G400600.1
TraesCS2A02G403800.1	TraesCS2B02G421800.1	TraesCS2D02G400900.1
TraesCS2A02G404000.1	TraesCS2B02G421900.1	TraesCS2D02G401000.1
TraesCS2A02G404100.1	TraesCS2B02G422000.1	TraesCS2D02G401100.1
TraesCS2A02G404200.1	TraesCS2B02G422200.1	TraesCS2D02G401200.1
TraesCS2A02G404600.1	TraesCS2B02G422500.1	TraesCS2D02G401500.2
TraesCS2A02G404700.1	TraesCS2B02G422700.1	TraesCS2D02G401600.2
TraesCS2A02G404800.1	TraesCS2B02G422800.1	TraesCS2D02G401700.1
TraesCS2A02G404900.2	TraesCS2B02G422900.3	TraesCS2D02G401800.1
TraesCS2A02G405000.3	TraesCS2B02G423100.1	TraesCS2D02G401900.1
TraesCS2A02G405100.1	TraesCS2B02G423200.1	TraesCS2D02G402000.1
TraesCS2A02G405700.1	TraesCS2B02G423500.1	TraesCS2D02G402400.1
TraesCS2A02G405800.2	TraesCS2B02G423600.1	TraesCS2D02G402500.1
TraesCS2A02G406000.1	TraesCS2B02G423700.1	TraesCS2D02G402900.1
TraesCS2A02G406200.3	TraesCS2B02G423900.1	TraesCS2D02G403100.1
TraesCS2A02G406300.1	TraesCS2B02G424000.1	TraesCS2D02G403200.1
TraesCS2A02G406400.1	TraesCS2B02G424100.2	TraesCS2D02G403300.1
TraesCS2A02G406800.1	TraesCS2B02G424400.1	TraesCS2D02G403700.2
TraesCS2A02G406900.1	TraesCS2B02G424500.1	TraesCS2D02G403800.1
TraesCS2A02G407000.1	TraesCS2B02G424600.1	TraesCS2D02G403900.1
TraesCS2A02G407100.1	TraesCS2B02G424800.1	TraesCS2D02G404100.1
TraesCS2A02G407500.1	TraesCS2B02G425400.1	TraesCS2D02G404600.1
TraesCS2A02G407600.1	TraesCS2B02G425500.2	TraesCS2D02G404700.1
TraesCS2A02G407900.1	TraesCS2B02G426100.1	TraesCS2D02G405200.1
TraesCS2A02G408000.1	TraesCS2B02G426200.1	TraesCS2D02G405300.2
TraesCS2A02G408100.1	TraesCS2B02G426300.1	TraesCS2D02G405400.1
TraesCS2A02G408600.1	TraesCS2B02G426900.1	TraesCS2D02G406300.1
TraesCS2A02G409000.1	TraesCS2B02G427500.1	TraesCS2D02G405800.1
TraesCS2A02G409300.1	TraesCS2B02G427800.1	TraesCS2D02G406700.1
TraesCS2A02G409700.1	TraesCS2B02G428100.1	TraesCS2D02G407000.1
TraesCS2A02G410000.1	TraesCS2B02G428300.1	TraesCS2D02G407200.1
TraesCS2A02G410300.1	TraesCS2B02G428900.1	TraesCS2D02G407600.1
TraesCS2A02G410400.3	TraesCS2B02G429200.2	TraesCS2D02G407800.5
TraesCS2A02G410500.1	TraesCS2B02G429300.1	TraesCS2D02G407900.1
TraesCS2A02G410700.1	TraesCS2B02G429500.1	TraesCS2D02G408100.1
TraesCS2A02G410800.1	TraesCS2B02G429600.1	TraesCS2D02G408200.3
TraesCS2A02G410900.1	TraesCS2B02G429800.2	TraesCS2D02G408300.1
TraesCS2A02G411300.1	TraesCS2B02G430100.1	TraesCS2D02G408800.1
TraesCS2A02G412000.1	TraesCS2B02G430600.1	TraesCS2D02G409200.1
TraesCS2A02G412100.1	TraesCS2B02G430700.1	TraesCS2D02G409300.1
TraesCS2A02G412200.1	TraesCS2B02G430800.1	TraesCS2D02G409400.1
TraesCS2A02G412800.1	TraesCS2B02G431400.2	TraesCS2D02G410100.1
TraesCS2A02G413000.1	TraesCS2B02G431200.2	TraesCS2D02G410200.1
TraesCS2A02G413300.1	TraesCS2B02G432000.1	TraesCS2D02G411300.1
TraesCS2A02G413400.1	TraesCS2B02G432100.1	TraesCS2D02G411200.1
TraesCS2A02G413500.1	TraesCS2B02G432200.1	TraesCS2D02G411100.1
TraesCS2A02G413700.1	TraesCS2B02G432500.1	TraesCS2D02G410900.1
TraesCS2A02G413900.1	TraesCS2B02G432700.1	TraesCS2D02G410700.1
TraesCS2A02G414000.1	TraesCS2B02G432900.2	TraesCS2D02G410600.1
TraesCS2A02G414100.1	TraesCS2B02G433200.1	TraesCS2D02G411400.1
TraesCS2A02G414200.1	TraesCS2B02G433300.1	TraesCS2D02G411500.1
TraesCS2A02G414300.2	TraesCS2B02G433400.1	TraesCS2D02G411600.1
TraesCS2A02G414500.1	TraesCS2B02G433700.1	TraesCS2D02G411800.1
TraesCS2A02G414600.1	TraesCS2B02G433800.1	TraesCS2D02G411900.1
TraesCS2A02G414700.1	TraesCS2B02G433900.1	TraesCS2D02G412000.1
TraesCS2A02G414800.1	TraesCS2B02G434000.1	TraesCS2D02G412100.1
TraesCS2A02G415100.1	TraesCS2B02G434100.1	TraesCS2D02G412200.1
TraesCS2A02G415200.1	TraesCS2B02G434200.1	TraesCS2D02G412300.1
TraesCS2A02G415300.1	TraesCS2B02G434300.1	TraesCS2D02G412400.1
TraesCS2A02G415400.1	TraesCS2B02G434400.1	TraesCS2D02G412500.1
TraesCS2A02G415600.3	TraesCS2B02G434600.2	TraesCS2D02G412600.2
TraesCS2A02G415700.1	TraesCS2B02G434700.1	TraesCS2D02G412700.1
TraesCS2A02G416000.1	TraesCS2B02G435000.1	TraesCS2D02G413000.1
TraesCS2A02G416400.1	TraesCS2B02G435300.1	TraesCS2D02G413400.1
TraesCS2A02G416500.1	TraesCS2B02G435400.1	TraesCS2D02G413500.1
TraesCS2A02G416600.1	TraesCS2B02G435600.1	TraesCS2D02G413600.1
TraesCS2A02G416700.1	TraesCS2B02G435700.2	TraesCS2D02G413700.1
TraesCS2A02G416900.2	TraesCS2B02G435900.1	TraesCS2D02G414200.1
TraesCS2A02G417200.1	TraesCS2B02G436200.1	TraesCS2D02G414500.1
TraesCS2A02G417300.1	TraesCS2B02G436300.1	TraesCS2D02G414600.1
TraesCS2A02G417900.3	TraesCS2B02G436800.1	TraesCS2D02G415100.1
TraesCS2A02G418200.1	TraesCS2B02G437200.1	TraesCS2D02G415600.1
TraesCS2A02G418300.1	TraesCS2B02G437300.2	TraesCS2D02G415700.1
TraesCS2A02G418400.1	TraesCS2B02G437400.2	TraesCS2D02G415800.1
TraesCS2A02G419000.1	TraesCS2B02G437700.1	TraesCS2D02G415900.1
TraesCS2A02G419200.1	TraesCS2B02G437900.2	TraesCS2D02G416200.1
TraesCS2A02G419300.1	TraesCS2B02G438000.1	TraesCS2D02G416300.1
TraesCS2A02G419500.1	TraesCS2B02G438200.1	TraesCS2D02G416500.1
TraesCS2A02G419900.1	TraesCS2B02G439000.2	TraesCS2D02G417000.1
TraesCS2A02G420100.1	TraesCS2B02G439200.1	TraesCS2D02G417200.1
TraesCS2A02G420600.1	TraesCS2B02G439500.1	TraesCS2D02G417300.1
TraesCS2A02G420700.1	TraesCS2B02G439700.1	TraesCS2D02G417400.1
TraesCS2A02G420800.1	TraesCS2B02G439900.1	TraesCS2D02G417800.1
TraesCS2A02G421400.1	TraesCS2B02G440400.1	TraesCS2D02G418400.2
TraesCS2A02G422400.2	TraesCS2B02G440900.1	TraesCS2D02G418800.2
TraesCS2A02G422600.1	TraesCS2B02G441100.1	TraesCS2D02G419000.2
TraesCS2A02G423000.1	TraesCS2B02G442600.1	TraesCS2D02G420800.1
TraesCS2A02G423300.1	TraesCS2B02G442700.1	TraesCS2D02G420900.1
TraesCS2A02G423400.1	TraesCS2B02G442800.1	TraesCS2D02G421100.1
TraesCS2A02G423500.3	TraesCS2B02G442900.4	TraesCS2D02G421200.1
TraesCS2A02G423700.1	TraesCS2B02G443300.1	TraesCS2D02G421500.1
TraesCS2A02G423900.1	TraesCS2B02G443500.1	TraesCS2D02G421700.1
TraesCS2A02G424000.1	TraesCS2B02G443600.1	TraesCS2D02G421800.1
TraesCS2A02G424500.1	TraesCS2B02G444100.1	TraesCS2D02G422300.1
TraesCS2A02G424900.1	TraesCS2B02G444700.2	TraesCS2D02G422900.1
TraesCS2A02G425400.3	TraesCS2B02G445700.2	TraesCS2D02G423300.4
TraesCS2A02G425700.1	TraesCS2B02G446000.1	TraesCS2D02G423600.1
TraesCS2A02G425800.2	TraesCS2B02G446100.1	TraesCS2D02G423700.1
TraesCS2A02G425900.1	TraesCS2B02G446200.1	TraesCS2D02G423800.1
TraesCS2A02G425919.1	TraesCS2B02G446235.1	TraesCS2D02G423900.1
TraesCS2A02G426000.1	TraesCS2B02G446300.1	TraesCS2D02G424100.1
TraesCS2A02G426100.1	TraesCS2B02G446400.1	TraesCS2D02G424200.1
TraesCS2A02G426200.3	TraesCS2B02G446500.2	TraesCS2D02G424300.1
TraesCS2A02G426400.1	TraesCS2B02G446800.1	TraesCS2D02G424600.1
TraesCS2A02G426600.1	TraesCS2B02G447100.1	TraesCS2D02G424800.1
TraesCS2A02G426700.1	TraesCS2B02G447200.1	TraesCS2D02G424900.1
TraesCS2A02G426900.1	TraesCS2B02G447300.1	TraesCS2D02G425000.1
TraesCS2A02G427000.1	TraesCS2B02G447400.1	TraesCS2D02G425100.1
TraesCS2A02G427300.1	TraesCS2B02G447800.1	TraesCS2D02G425400.1
TraesCS2A02G427400.1	TraesCS2B02G447900.1	TraesCS2D02G425500.1
TraesCS2A02G427600.1	TraesCS2B02G448000.1	TraesCS2D02G425600.1
TraesCS2A02G427700.1	TraesCS2B02G448100.1	TraesCS2D02G425700.1
TraesCS2A02G428200.1	TraesCS2B02G448700.1	TraesCS2D02G426300.1
TraesCS2A02G428400.1	TraesCS2B02G449100.2	TraesCS2D02G426500.1
TraesCS2A02G428500.1	TraesCS2B02G449200.1	TraesCS2D02G426600.1
TraesCS2A02G429200.1	TraesCS2B02G449700.1	TraesCS2D02G427000.1
TraesCS2A02G429400.1	TraesCS2B02G449900.1	TraesCS2D02G427100.1
TraesCS2A02G429800.1	TraesCS2B02G450700.1	TraesCS2D02G427400.1
TraesCS2A02G430300.1	TraesCS2B02G450900.1	TraesCS2D02G427900.1
TraesCS2A02G430400.1	TraesCS2B02G451000.1	TraesCS2D02G428000.1
TraesCS2A02G430500.1	TraesCS2B02G451100.1	TraesCS2D02G428100.2
TraesCS2A02G430700.2	TraesCS2B02G451900.1	TraesCS2D02G428600.1
TraesCS2A02G430900.2	TraesCS2B02G452200.4	TraesCS2D02G428700.2
TraesCS2A02G431000.1	TraesCS2B02G452300.1	TraesCS2D02G428800.1
TraesCS2A02G431100.2	TraesCS2B02G452400.2	TraesCS2D02G428900.1
TraesCS2A02G431200.1	TraesCS2B02G452500.1	TraesCS2D02G429000.1
TraesCS2A02G431400.1	TraesCS2B02G452900.1	TraesCS2D02G429400.1
TraesCS2A02G431500.2	TraesCS2B02G453000.2	TraesCS2D02G429500.1
TraesCS2A02G431600.1	TraesCS2B02G453100.1	TraesCS2D02G429600.1
TraesCS2A02G431800.1	TraesCS2B02G453300.1	TraesCS2D02G429800.1
TraesCS2A02G431900.1	TraesCS2B02G453400.5	TraesCS2D02G429900.1
TraesCS2A02G432100.2	TraesCS2B02G453500.2	TraesCS2D02G430000.2
TraesCS2A02G432700.1	TraesCS2B02G454000.1	TraesCS2D02G430700.1
TraesCS2A02G432800.1	TraesCS2B02G454100.1	TraesCS2D02G430800.1
TraesCS2A02G432900.1	TraesCS2B02G454200.1	TraesCS2D02G430900.1
TraesCS2A02G433500.1	TraesCS2B02G454500.1	TraesCS2D02G431500.1
TraesCS2A02G433600.1	TraesCS2B02G454600.1	TraesCS2D02G431600.1
TraesCS2A02G433800.1	TraesCS2B02G454800.1	TraesCS2D02G431800.1
TraesCS2A02G434300.1	TraesCS2B02G455400.1	TraesCS2D02G432100.1
TraesCS2A02G434400.1	TraesCS2B02G455500.1	TraesCS2D02G432200.1
TraesCS2A02G434600.2	TraesCS2B02G455700.2	TraesCS2D02G432400.1
TraesCS2A02G434700.1	TraesCS2B02G455800.1	TraesCS2D02G432500.1
TraesCS2A02G434800.1	TraesCS2B02G455900.1	TraesCS2D02G432600.1
TraesCS2A02G434900.1	TraesCS2B02G458000.1	TraesCS2D02G434900.1
TraesCS2A02G435900.1	TraesCS2B02G457300.1	TraesCS2D02G434000.1
TraesCS2A02G436000.1	TraesCS2B02G457200.1	TraesCS2D02G433900.1
TraesCS2A02G436200.1	TraesCS2B02G457000.1	TraesCS2D02G433700.2
TraesCS2A02G436300.1	TraesCS2B02G456900.1	TraesCS2D02G433600.1
TraesCS2A02G436500.1	TraesCS2B02G456700.1	TraesCS2D02G433400.1
TraesCS2A02G436600.1	TraesCS2B02G456600.1	TraesCS2D02G433300.1
TraesCS2A02G436700.1	TraesCS2B02G456500.1	TraesCS2D02G433200.1
TraesCS2A02G436800.1	TraesCS2B02G456400.3	TraesCS2D02G433100.1
TraesCS2A02G436900.1	TraesCS2B02G456300.1	TraesCS2D02G433000.1
TraesCS2A02G437100.1	TraesCS2B02G456200.2	TraesCS2D02G432900.1
TraesCS2A02G437700.1	TraesCS2B02G457600.1	TraesCS2D02G434500.1
TraesCS2A02G438800.1	TraesCS2B02G458600.1	TraesCS2D02G435400.1
TraesCS2A02G438900.1	TraesCS2B02G458500.1	TraesCS2D02G435300.1
TraesCS2A02G439400.1	TraesCS2B02G459300.1	TraesCS2D02G436700.1
TraesCS2A02G439500.1	TraesCS2B02G459400.1	TraesCS2D02G436800.1
TraesCS2A02G439900.1	TraesCS2B02G461500.1	TraesCS2D02G438900.1
TraesCS2A02G440000.2	TraesCS2B02G461400.1	TraesCS2D02G438800.1
TraesCS2A02G440700.1	TraesCS2B02G460300.1	TraesCS2D02G438100.1
TraesCS2A02G440800.1	TraesCS2B02G460200.1	TraesCS2D02G438000.1
TraesCS2A02G441300.1	TraesCS2B02G459800.1	TraesCS2D02G437600.1
TraesCS2A02G441600.1	TraesCS2B02G461800.1	TraesCS2D02G439300.1
TraesCS2A02G442200.1	TraesCS2B02G462800.1	TraesCS2D02G440900.1
TraesCS2A02G442400.2	TraesCS2B02G463500.1	TraesCS2D02G441400.1
TraesCS2A02G442800.1	TraesCS2B02G463900.1	TraesCS2D02G441900.1
TraesCS2A02G442900.1	TraesCS2B02G464000.1	TraesCS2D02G442000.1
TraesCS2A02G443100.1	TraesCS2B02G464200.1	TraesCS2D02G442200.1
TraesCS2A02G443300.1	TraesCS2B02G464400.1	TraesCS2D02G442500.1
TraesCS2A02G443600.1	TraesCS2B02G464700.1	TraesCS2D02G442700.1
TraesCS2A02G443700.1	TraesCS2B02G464900.1	TraesCS2D02G442900.1
TraesCS2A02G443800.1	TraesCS2B02G465000.1	TraesCS2D02G443000.1
TraesCS2A02G444000.2	TraesCS2B02G465200.1	TraesCS2D02G443200.1
TraesCS2A02G444100.1	TraesCS2B02G465300.1	TraesCS2D02G443300.1
TraesCS2A02G444300.1	TraesCS2B02G465400.1	TraesCS2D02G443400.1
TraesCS2A02G444400.1	TraesCS2B02G465500.1	TraesCS2D02G443600.2
TraesCS2A02G444600.1	TraesCS2B02G465600.1	TraesCS2D02G443700.2
TraesCS2A02G445100.1	TraesCS2B02G466100.1	TraesCS2D02G444000.1
TraesCS2A02G446700.1	TraesCS2B02G467500.1	TraesCS2D02G445700.1
TraesCS2A02G447800.1	TraesCS2B02G468200.1	TraesCS2D02G446700.1
TraesCS2A02G447900.1	TraesCS2B02G468300.1	TraesCS2D02G446800.1
TraesCS2A02G448000.2	TraesCS2B02G468400.1	TraesCS2D02G446900.1
TraesCS2A02G448600.1	TraesCS2B02G469400.1	TraesCS2D02G447800.1
TraesCS2A02G449100.1	TraesCS2B02G470400.1	TraesCS2D02G448500.1
TraesCS2A02G449200.1	TraesCS2B02G470500.1	TraesCS2D02G448600.1
TraesCS2A02G449300.1	TraesCS2B02G470600.1	TraesCS2D02G448700.1
TraesCS2A02G449400.1	TraesCS2B02G470700.1	TraesCS2D02G448800.1
TraesCS2A02G449500.1	TraesCS2B02G470900.1	TraesCS2D02G448900.1
TraesCS2A02G449700.1	TraesCS2B02G471500.1	TraesCS2D02G449200.2
TraesCS2A02G450400.1	TraesCS2B02G472000.1	TraesCS2D02G450000.2
TraesCS2A02G450500.1	TraesCS2B02G472100.1	TraesCS2D02G450100.1
TraesCS2A02G450600.1	TraesCS2B02G472200.1	TraesCS2D02G450200.1
TraesCS2A02G451200.1	TraesCS2B02G472500.1	TraesCS2D02G450900.1
TraesCS2A02G451900.2	TraesCS2B02G473200.1	TraesCS2D02G451700.1
TraesCS2A02G452100.2	TraesCS2B02G473600.1	TraesCS2D02G451900.2
TraesCS2A02G452400.1	TraesCS2B02G473900.1	TraesCS2D02G452200.1
TraesCS2A02G452700.1	TraesCS2B02G474200.1	TraesCS2D02G452500.1
TraesCS2A02G455000.1	TraesCS2B02G477100.1	TraesCS2D02G455400.1
TraesCS2A02G455200.2	TraesCS2B02G477300.4	TraesCS2D02G455600.2
TraesCS2A02G455800.1	TraesCS2B02G477800.1	TraesCS2D02G456100.1
TraesCS2A02G455900.1	TraesCS2B02G477900.1	TraesCS2D02G456200.1
TraesCS2A02G456000.1	TraesCS2B02G478000.1	TraesCS2D02G456300.1
TraesCS2A02G456300.2	TraesCS2B02G478400.2	TraesCS2D02G456600.2
TraesCS2A02G457100.1	TraesCS2B02G479700.1	TraesCS2D02G457900.1
TraesCS2A02G457300.1	TraesCS2B02G479800.1	TraesCS2D02G458100.1
TraesCS2A02G457500.1	TraesCS2B02G479900.1	TraesCS2D02G458200.1
TraesCS2A02G457600.3	TraesCS2B02G480000.3	TraesCS2D02G458300.3
TraesCS2A02G457900.2	TraesCS2B02G480200.3	TraesCS2D02G458500.2
TraesCS2A02G458800.1	TraesCS2B02G480600.1	TraesCS2D02G459200.1
TraesCS2A02G458900.1	TraesCS2B02G480700.1	TraesCS2D02G459300.1
TraesCS2A02G459300.1	TraesCS2B02G480800.1	TraesCS2D02G459600.1
TraesCS2A02G459600.1	TraesCS2B02G481000.1	TraesCS2D02G459900.3
TraesCS2A02G460000.1	TraesCS2B02G481700.1	TraesCS2D02G460300.1
TraesCS2A02G460100.1	TraesCS2B02G481800.1	TraesCS2D02G460400.1
TraesCS2A02G460200.1	TraesCS2B02G481900.1	TraesCS2D02G460500.1
TraesCS2A02G460400.1	TraesCS2B02G482000.1	TraesCS2D02G460600.1
TraesCS2A02G460718.1	TraesCS2B02G482437.1	TraesCS2D02G461000.1
TraesCS2A02G460900.1	TraesCS2B02G482700.1	TraesCS2D02G461200.1
TraesCS2A02G461100.1	TraesCS2B02G482900.1	TraesCS2D02G461300.1
TraesCS2A02G461700.2	TraesCS2B02G483300.1	TraesCS2D02G461700.3
TraesCS2A02G461800.1	TraesCS2B02G483400.1	TraesCS2D02G462000.1
TraesCS2A02G462100.2	TraesCS2B02G483600.1	TraesCS2D02G462200.1
TraesCS2A02G462500.1	TraesCS2B02G484100.1	TraesCS2D02G462900.1
TraesCS2A02G462900.1	TraesCS2B02G484600.1	TraesCS2D02G463500.1
TraesCS2A02G463000.1	TraesCS2B02G484700.1	TraesCS2D02G463600.1
TraesCS2A02G463200.1	TraesCS2B02G484900.1	TraesCS2D02G463900.1
TraesCS2A02G463500.1	TraesCS2B02G485500.1	TraesCS2D02G464700.1
TraesCS2A02G464000.1	TraesCS2B02G485700.1	TraesCS2D02G464900.1
TraesCS2A02G465400.2	TraesCS2B02G486900.1	TraesCS2D02G465800.1
TraesCS2A02G465700.1	TraesCS2B02G487800.1	TraesCS2D02G466100.1
TraesCS2A02G466700.3	TraesCS2B02G489500.1	TraesCS2D02G466700.1
TraesCS2A02G466800.1	TraesCS2B02G489600.3	TraesCS2D02G466800.2
TraesCS2A02G467000.1	TraesCS2B02G489800.1	TraesCS2D02G467000.1
TraesCS2A02G467300.1	TraesCS2B02G490100.1	TraesCS2D02G467300.1
TraesCS2A02G467400.1	TraesCS2B02G490200.1	TraesCS2D02G467400.1
TraesCS2A02G467800.1	TraesCS2B02G490800.1	TraesCS2D02G467800.1
TraesCS2A02G467900.1	TraesCS2B02G490900.1	TraesCS2D02G467900.1
TraesCS2A02G468800.1	TraesCS2B02G491700.2	TraesCS2D02G468900.2
TraesCS2A02G469000.1	TraesCS2B02G491900.1	TraesCS2D02G469100.1
TraesCS2A02G469100.1	TraesCS2B02G492000.1	TraesCS2D02G469200.1
TraesCS2A02G469200.1	TraesCS2B02G492100.1	TraesCS2D02G469300.1
TraesCS2A02G469300.1	TraesCS2B02G492200.1	TraesCS2D02G469400.1
TraesCS2A02G470100.1	TraesCS2B02G492900.1	TraesCS2D02G470000.1
TraesCS2A02G472000.1	TraesCS2B02G494700.1	TraesCS2D02G471900.1
TraesCS2A02G472300.1	TraesCS2B02G494900.1	TraesCS2D02G472000.1
TraesCS2A02G472400.1	TraesCS2B02G495100.1	TraesCS1D02G413800.1
TraesCS2A02G473000.1	TraesCS2B02G495700.1	TraesCS2D02G472700.1
TraesCS2A02G473600.1	TraesCS2B02G496600.1	TraesCS2D02G473300.1
TraesCS2A02G473900.1	TraesCS2B02G497400.1	TraesCS2D02G473600.2
TraesCS2A02G474000.1	TraesCS2B02G497500.1	TraesCS2D02G473700.1
TraesCS2A02G474100.1	TraesCS2B02G497600.1	TraesCS2D02G473800.1
TraesCS2A02G474300.1	TraesCS2B02G497800.1	TraesCS2D02G474000.1
TraesCS2A02G474900.1	TraesCS2B02G498500.1	TraesCS2D02G474900.1
TraesCS2A02G476200.1	TraesCS2B02G499800.1	TraesCS2D02G476100.1
TraesCS2A02G476400.1	TraesCS2B02G500000.1	TraesCS2D02G476300.1
TraesCS2A02G477400.1	TraesCS2B02G500500.1	TraesCS2D02G476600.1
TraesCS2A02G477500.1	TraesCS2B02G500600.1	TraesCS2D02G476700.1
TraesCS2A02G477900.1	TraesCS2B02G501200.1	TraesCS2D02G477100.2
TraesCS2A02G478300.1	TraesCS2B02G501500.2	TraesCS2D02G477500.1
TraesCS2A02G478900.1	TraesCS2B02G503300.1	TraesCS2D02G478200.1
TraesCS2A02G479000.1	TraesCS2B02G503400.1	TraesCS2D02G478300.1
TraesCS2A02G479400.2	TraesCS2B02G503600.1	TraesCS2D02G478500.2
TraesCS2A02G479600.1	TraesCS2B02G504100.1	TraesCS2D02G478800.1
TraesCS2A02G479700.1	TraesCS2B02G504200.1	TraesCS2D02G478900.1
